Date Time,T (degC)
01.01.2009 00:10:00,996.52
01.01.2009 00:30:00,-8.51
01.01.2009 00:20:00,-8.41
01.01.2009 00:40:00,-8.31
01.01.2009 00:50:00,-8.27
01.01.2009 01:00:00,-8.05
01.01.2009 01:10:00,-7.62
01.01.2009 01:20:00,-7.62
01.01.2009 01:30:00,-7.91
01.01.2009 01:40:00,-8.43
01.01.2009 01:50:00,-8.76
01.01.2009 02:00:00,-8.88
01.01.2009 02:10:00,-8.85
01.01.2009 02:20:00,-8.83
01.01.2009 02:30:00,-8.66
01.01.2009 02:40:00,-8.66
01.01.2009 02:50:00,-8.7
01.01.2009 03:00:00,-8.81
01.01.2009 03:10:00,-8.84
01.01.2009 03:20:00,-8.94
01.01.2009 03:30:00,-8.94
01.01.2009 03:40:00,-8.86
01.01.2009 03:50:00,-8.99
01.01.2009 04:00:00,-9.05
01.01.2009 04:10:00,-9.23
01.01.2009 04:20:00,-9.49
01.01.2009 04:30:00,-9.5
01.01.2009 04:40:00,-9.35
01.01.2009 04:50:00,-9.47
01.01.2009 05:00:00,-9.63
01.01.2009 05:10:00,-9.67
01.01.2009 05:20:00,-9.68
01.01.2009 05:30:00,-9.9
01.01.2009 05:40:00,-9.91
01.01.2009 05:50:00,-9.51
01.01.2009 06:00:00,-9.67
01.01.2009 06:10:00,-9.59
01.01.2009 06:20:00,-9.15
01.01.2009 06:30:00,-8.91
01.01.2009 06:40:00,-9.04
01.01.2009 06:50:00,-9.43
01.01.2009 07:00:00,-9.17
01.01.2009 07:10:00,-8.71
01.01.2009 07:20:00,-8.55
01.01.2009 07:30:00,-8.4
01.01.2009 07:40:00,-8.3
01.01.2009 07:50:00,-8.13
01.01.2009 08:00:00,-8.1